worker_tests,worker_tests,lr,loss_mean,loss_std,price_mean,price_std,algorithm,recall,recall_std,precision,precision_std,f_beta,f_beta_std,machine_tests,corr,select_conf,baseround_items,total_items,expert_cost,theta,filters_num,machine_acc_range,label
5,5,10,0.25584,0.08609537966697167,5.80738,1.292600694568899,Hybrid-Ensemble,95.86611759016347,2.9071211572588487,81.44603969680276,11.221255195366215,94.05964457753717,1.9325124993478315,20.0,0.3,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",Low Select/High Acc
5,5,10,0.8896200000000001,0.3631185420768265,0.0,0.0,Machines-Ensemble,88.38983532949824,12.907073821256573,44.12720892616202,5.9170941263122785,80.24395992534815,9.042854800622177,20.0,0.5,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",Low Select/High Acc
5,5,10,0.25506000000000006,0.07600273942431286,6.01192,1.0814613047169095,Hybrid-Ensemble,95.68695298481387,2.733851289957428,81.88478387524118,11.221227082427031,93.98035510710147,1.8772662420003552,20.0,0.5,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",Low Select/High Acc
5,5,10,0.7257600000000001,0.17755816624419163,0.0,0.0,Machines-Ensemble,94.68427466625516,7.0962461837334185,41.40616284438621,3.7709458051636173,84.47404620762673,4.5189563543278055,20.0,0.7,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",Low Select/High Acc
5,5,10,0.27834,0.09222594212042509,6.1237200000000005,1.2368770357638628,Hybrid-Ensemble,95.1243473175254,3.1678871957960384,82.72897051016852,12.694505477417655,93.51500758947999,2.136133791993594,20.0,0.7,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",Low Select/High Acc
5,5,10,0.7333200000000001,0.24571857398251357,0.0,0.0,Machines-Ensemble,94.13722697718775,9.439788213045272,41.96206416838297,4.542823405341024,84.11949569217266,6.428485387044873,20.0,0.9,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",Low Select/High Acc
5,5,10,0.28230000000000005,0.0991978326376136,6.4569399999999995,1.7865691860098787,Hybrid-Ensemble,95.56105744086804,3.0366757822072774,80.44208124772722,14.867952668569242,93.44792819050917,2.165265175157017,20.0,0.9,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",Low Select/High Acc
5,5,10,0.29932000000000003,0.13526484243882445,7.9221,1.313408561720229,Crowd-Ensemble,94.9240691553243,3.4707902612297166,80.18232648743678,12.510859269332094,93.00112604794556,3.0735136824816083,0.0,0.0,0.95,20,1000,20,0.3,4,,Low Select/Low Acc
5,5,10,0.61674,0.16992855086771028,0.0,0.0,Machines-Ensemble,92.25583499094566,4.44612443202642,52.78338649826574,7.282070839819674,86.12789401522042,3.81861118219855,20.0,0.0,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",Low Select/Low Acc
5,5,10,0.2879,0.10585655388307329,5.867280000000001,1.7220101281932112,Hybrid-Ensemble,95.91309176960085,2.9238918558882707,75.38798765049418,10.752344270397654,93.26592814219558,2.3913186131598336,20.0,0.0,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",Low Select/Low Acc
5,5,10,0.7918,0.18616089814996062,0.0,0.0,Machines-Ensemble,88.76365809992309,6.222310898002795,49.42879284496585,6.7747958307155995,82.41447977615333,4.282534749371121,20.0,0.2,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",Low Select/Low Acc
5,5,10,0.29413999999999996,0.07593892545987202,6.1500200000000005,1.1952209584842464,Hybrid-Ensemble,95.8292816256737,2.4193892305443474,74.47544837920421,9.48505603984601,93.16711560151282,1.8082951723740117,20.0,0.2,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",Low Select/Low Acc
5,5,10,0.84128,0.20497863693565727,0.0,0.0,Machines-Ensemble,88.50530631909001,7.724764509158544,46.56082273195492,5.702720366816562,81.37369695335882,4.969106755669537,20.0,0.3,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",Low Select/Low Acc
5,5,10,0.32072,0.08602837671373324,6.7203599999999994,1.5531769217960973,Hybrid-Ensemble,95.87585204923225,3.0222176353986563,71.59190437608517,11.860717599693585,92.60711629132149,1.933363977403317,20.0,0.3,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",Low Select/Low Acc
5,5,10,0.81826,0.286008797766782,0.0,0.0,Machines-Ensemble,90.89023783907655,10.713447713651039,43.11841542049836,5.2325912698006025,81.97974905587397,7.1871782761172875,20.0,0.5,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",Low Select/Low Acc
5,5,10,0.29875999999999997,0.07760091752034895,6.535220000000002,1.0584866610401853,Hybrid-Ensemble,95.97389582780025,2.8939951057520648,72.9484095681791,9.701315418005668,93.04210353909028,1.8464821197524972,20.0,0.5,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",Low Select/Low Acc
5,5,10,0.75546,0.17591409380717624,0.0,0.0,Machines-Ensemble,93.33795853063168,7.201887326976447,42.211826901236265,4.41431200419134,83.71464865289738,4.258695618433094,20.0,0.7,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",Low Select/Low Acc
5,5,10,0.308,0.08767690687974798,6.4519,1.2037927437893952,Hybrid-Ensemble,95.70225155158187,3.049701397223309,73.51847960424648,10.204503816549442,92.87366250909298,2.011679199708521,20.0,0.7,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",Low Select/Low Acc
5,5,10,0.7935000000000001,0.23426320667147027,0.0,0.0,Machines-Ensemble,92.35570625316795,8.882833181271403,42.19287898617902,5.335938678569998,82.8182560620494,5.456190797284651,20.0,0.9,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",Low Select/Low Acc
5,5,10,0.3319,0.11820088832153504,6.872320000000001,1.667376075635008,Hybrid-Ensemble,95.62620358836246,3.0664976084399043,71.05567336373159,12.010113641358851,92.32871733770226,2.7272933295665087,20.0,0.9,0.95,20,1000,20,0.3,4,"[0.5, 0.8]",Low Select/Low Acc
