Nt,J,lr,loss_mean,loss_std,price_mean,price_std,algorithm,recall,recall_std,precision,precision_std,f_beta,f_beta_std,tests_num,corr,select_conf,baseline_items,total_items,expert_cost,theta,filetrs_num
5,3,10,0.30256000000000005,0.15544493044161975,10.92492,4.4279465617371665,Crowd-Ensemble,98.11947771209825,1.926578057957857,60.07107815650287,15.710940073578902,91.76812068729156,3.767701820999008,0.0,0.0,0.95,20,1000,30,0.3,4
5,3,10,0.14602,0.11787968272777119,0.0,0.0,Machines-Ensemble,99.45098808384463,0.758066220995683,73.19627236376327,14.305490248959076,95.8707754737244,3.236699251718301,50.0,0.0,0.95,20,1000,30,0.3,4
5,3,10,0.07824000000000002,0.06771338420135269,3.8387599999999997,1.853114077006594,Hybrid-Ensemble,98.82121681723407,1.4821755783657782,89.8251909044148,11.446800797194777,97.717854414138,1.9433246480137303,50.0,0.0,0.95,20,1000,30,0.3,4
5,3,10,0.30744,0.12566115708523456,0.0,0.0,Machines-Ensemble,94.17203261180181,2.264945809708655,70.98861077800562,11.206485528831724,91.22613582150059,3.5215317454084802,50.0,0.2,0.95,20,1000,30,0.3,4
5,3,10,0.10092000000000001,0.05556251974127883,3.9579999999999997,1.0003206885794174,Hybrid-Ensemble,97.9398939383961,1.8209499105842621,89.47286755930678,6.173366467607847,97.04027902583317,1.627081648316267,50.0,0.2,0.95,20,1000,30,0.3,4
5,3,10,0.52186,0.11721467655545528,0.0,0.0,Machines-Ensemble,87.10241586696102,2.999286521312027,68.15489373558034,8.322529183002162,84.8557924437864,3.4856207799368257,50.0,0.3,0.95,20,1000,30,0.3,4
5,3,10,0.13192,0.06034230356888939,4.46456,1.1772110967876577,Hybrid-Ensemble,97.26009622291085,1.996780848803646,86.73209143115926,6.773157188161021,96.11636799828068,1.7554638642170195,50.0,0.3,0.95,20,1000,30,0.3,4
5,3,10,1.10326,0.28997129582081055,0.0,0.0,Machines-Ensemble,67.82507213265107,9.082119246299872,65.30256126290433,11.004265041806129,67.4209312150574,8.71897588311464,50.0,0.5,0.95,20,1000,30,0.3,4
5,3,10,0.16233999999999998,0.06482796001726417,5.70808,1.3566300430109899,Hybrid-Ensemble,97.38496423709864,2.0217163115813483,79.11743086729572,7.2557185831607125,95.27831479971988,1.9164135219667215,50.0,0.5,0.95,20,1000,30,0.3,4
5,3,10,1.4914,0.4256977801210619,0.0,0.0,Machines-Ensemble,54.47003923388704,15.294118332382258,67.5002076504128,12.544990566335867,54.92371760817455,13.67256509321464,50.0,0.7,0.95,20,1000,30,0.3,4
5,3,10,0.17921999999999996,0.06386244279699925,5.89614,1.2902426440015071,Hybrid-Ensemble,96.98023213957426,1.933763602463148,78.10196619589458,7.1497093448106,94.80364632878063,1.8520668235707893,50.0,0.7,0.95,20,1000,30,0.3,4
5,3,10,1.7702199999999997,0.6411336300647471,0.0,0.0,Machines-Ensemble,47.55565636698131,25.656802539517045,60.240076143808075,16.818642968372878,46.390164101359275,21.057850160584895,50.0,0.9,0.95,20,1000,30,0.3,4
5,3,10,0.20212000000000002,0.0795697530472478,6.70616,1.6797353524885998,Hybrid-Ensemble,96.90689384838407,2.2125502793433824,75.03566412142519,9.487556107891221,94.23786959998343,2.2540094703698896,50.0,0.9,0.95,20,1000,30,0.3,4
5,3,10,0.28286,0.11637783465935428,11.96746,4.459190183026511,Crowd-Ensemble,97.41087377457899,2.384994290604024,63.20864893810329,13.551411422923032,92.2182555052101,3.02332546575148,0.0,0.0,0.95,20,1000,40,0.3,4
5,3,10,0.16404,0.10450051865899995,0.0,0.0,Machines-Ensemble,99.27648040750755,0.6877285671881883,70.87151331078246,12.216258372507237,95.45369401961406,2.728429513937243,50.0,0.0,0.95,20,1000,40,0.3,4
5,3,10,0.06932,0.04363046641969348,3.60724,1.3951522864547796,Hybrid-Ensemble,98.581171201904,1.177313572019009,93.03112697767875,6.231638283754028,97.98933967772416,1.2267088644911348,50.0,0.0,0.95,20,1000,40,0.3,4
5,3,10,0.3345600000000001,0.11424047618948374,0.0,0.0,Machines-Ensemble,93.6856211687391,1.929016583225212,69.01671598211135,10.37448110922921,90.55228425560732,3.007278963509718,50.0,0.2,0.95,20,1000,40,0.3,4
5,3,10,0.09913999999999999,0.050186456340331496,4.2464,0.6675880166689633,Hybrid-Ensemble,97.86905342092969,1.7367625577373043,90.14087731404847,3.340638353065795,97.09425667217853,1.5113914029104922,50.0,0.2,0.95,20,1000,40,0.3,4
5,3,10,0.52378,0.16705080544552905,0.0,0.0,Machines-Ensemble,87.47383670375099,3.921309675426112,68.72086159988328,11.085443352905875,85.15117800855268,4.528114243786915,50.0,0.3,0.95,20,1000,40,0.3,4
5,3,10,0.10702,0.056450860046592735,5.279079999999999,1.7965677035948298,Hybrid-Ensemble,98.4236051814179,1.275172127523752,84.92471308123021,7.7415863694921025,96.92015905568167,1.5840004524535274,50.0,0.3,0.95,20,1000,40,0.3,4
5,3,10,1.0524200000000001,0.3098716566580429,0.0,0.0,Machines-Ensemble,69.45667622900436,10.260539356207962,65.8944979634363,11.52673439300254,68.86751167349048,9.53304372642065,50.0,0.5,0.95,20,1000,40,0.3,4
5,3,10,0.17298000000000002,0.07973041828562044,6.352919999999999,2.2244377882062696,Hybrid-Ensemble,96.9094558989297,2.6162982861686386,80.5648326112619,8.908625837784557,94.97963765375394,2.286010050576621,50.0,0.5,0.95,20,1000,40,0.3,4
5,3,10,1.5669,0.5094132016349793,0.0,0.0,Machines-Ensemble,52.34147047643164,16.36213559032726,67.1861434104334,11.082443416039089,53.115476631825416,15.39307761748936,50.0,0.7,0.95,20,1000,40,0.3,4
5,3,10,0.18361999999999998,0.0691774211719402,7.03656,1.9012815063530175,Hybrid-Ensemble,97.09949545944426,1.9615238485222795,77.30014366153073,7.907709684878753,94.77515482627527,1.9436888881705776,50.0,0.7,0.95,20,1000,40,0.3,4
5,3,10,1.8675399999999995,0.6768596962443546,0.0,0.0,Machines-Ensemble,43.43994511233755,26.337663278963973,57.0846762863585,14.536008364974053,42.647949701343734,22.4345682150251,50.0,0.9,0.95,20,1000,40,0.3,4
5,3,10,0.23812,0.08651534892722794,7.90846,2.426411640344647,Hybrid-Ensemble,95.80846819924194,2.512156758884498,74.4294998565757,10.160776219682525,93.17074815906327,2.455345581755158,50.0,0.9,0.95,20,1000,40,0.3,4
5,3,10,0.28180000000000005,0.1085309172540249,14.947200000000002,5.163913206087027,Crowd-Ensemble,98.15435864421917,1.645031262731568,59.86065702357279,11.684318945303284,92.26057211895554,2.8226855231558425,0.0,0.0,0.95,20,1000,50,0.3,4
5,3,10,0.16132000000000002,0.10863893224806657,0.0,0.0,Machines-Ensemble,99.2461842084217,0.6913913786801034,71.55761817913421,12.954086625055146,95.5311243137043,2.7971344779955696,50.0,0.0,0.95,20,1000,50,0.3,4
5,3,10,0.06768,0.048644605045164054,3.80474,1.0373791941233446,Hybrid-Ensemble,98.5807576053064,1.5976873379709906,93.11042124106821,4.41585328006909,98.0299591010774,1.398873265294754,50.0,0.0,0.95,20,1000,50,0.3,4
5,3,10,0.30468000000000006,0.10452204360803513,0.0,0.0,Machines-Ensemble,94.14214417133721,1.7712123987858042,71.38911285436615,10.37281124897948,91.28942098439735,2.9428647987942407,50.0,0.2,0.95,20,1000,50,0.3,4
5,3,10,0.09033999999999999,0.05338149866760955,4.878780000000001,2.2018449653869823,Hybrid-Ensemble,98.43988630092534,1.2805241803860412,88.6821286244471,7.774855840589305,97.36049523932223,1.5323639759498815,50.0,0.2,0.95,20,1000,50,0.3,4
