items_num,votes_per_item,lr,loss_mean,loss_std,price_mean,price_std,algorithm,recall,recall_std,precision,precision_std,f_beta,f_beta_std,machine_tests,corr,select_conf,baseline_items,total_items,expert_cost,theta,filetrs_num
5,3,10,0.41168,0.19456879914313086,0.0,0.0,Machines-Ensemble,48.04544138076585,24.827284969517436,31.11845410933764,18.44328896430248,39.42102519614657,14.863778087367187,50.0,0.9,0.95,20,1000,20,0.05,4
5,3,10,0.1176,0.04428001806684365,2.7356199999999995,0.7609374715441473,Hybrid-Ensemble,85.14596092907847,7.1476385872308015,58.81012425865444,20.573243664624666,80.23901217028,6.345737270449228,50.0,0.9,0.95,20,1000,20,0.05,4
5,3,10,0.11492000000000001,0.05401734536239263,3.8237800000000006,0.6381558207836077,Crowd-Ensemble,89.48467221536832,5.904842460978178,90.67408327830681,12.241947692814641,89.29938377072533,5.149402153198867,0.0,0.0,0.95,20,1000,20,0.1,4
5,3,10,0.11634,0.12476563789761988,0.0,0.0,Machines-Ensemble,99.22018092205603,1.079878126620175,58.40732627605667,21.653927630329846,91.02851802049877,8.173612550029016,50.0,0.0,0.95,20,1000,20,0.1,4
5,3,10,0.0645,0.0645595074330652,2.0966000000000005,0.35236242705487203,Hybrid-Ensemble,93.90063613879337,6.230894750545929,95.92136324896641,2.5638915694509565,94.05266086270215,5.828026420956286,50.0,0.0,0.95,20,1000,20,0.1,4
5,3,10,0.15539999999999998,0.0804029850192143,0.0,0.0,Machines-Ensemble,94.66578396199955,3.0455402564404634,51.480238256855664,14.40288281616792,86.91407289751375,6.1951366563966,50.0,0.2,0.95,20,1000,20,0.1,4
5,3,10,0.09548000000000002,0.05766358989865269,2.22368,0.41464131197940224,Hybrid-Ensemble,90.99925917511088,6.210918176380611,90.76575847713684,3.2238938471444634,90.94530370657543,5.793379409485111,50.0,0.2,0.95,20,1000,20,0.1,4
5,3,10,0.21816,0.08474653031245587,0.0,0.0,Machines-Ensemble,88.0142599656828,4.224261610289731,52.18542256815323,13.624070049000824,82.17767255460552,6.125161062812673,50.0,0.3,0.95,20,1000,20,0.1,4
5,3,10,0.10062000000000001,0.05966167614138912,2.2849000000000004,0.3679308223022366,Hybrid-Ensemble,91.52377673797746,5.482745418472154,87.43644059955722,4.526056643169473,91.09658222282951,5.091924558342945,50.0,0.3,0.95,20,1000,20,0.1,4
5,3,10,0.40495999999999993,0.11922733914669069,0.0,0.0,Machines-Ensemble,69.87790186571857,10.70664317046027,43.31257325867405,14.540755501810983,65.36031598915696,9.985081474628226,50.0,0.5,0.95,20,1000,20,0.1,4
5,3,10,0.13396,0.05604461080246699,2.6609999999999996,0.3612313939845207,Hybrid-Ensemble,89.82228037426978,5.084912624059353,73.2847917339056,8.352135645255547,87.93083251849454,5.120565134466094,50.0,0.5,0.95,20,1000,20,0.1,4
5,3,10,0.55342,0.18263899802616088,0.0,0.0,Machines-Ensemble,52.37315045519736,17.459887227781824,43.87939000314219,16.019310721778165,50.76076233984698,16.004040640047645,50.0,0.7,0.95,20,1000,20,0.1,4
5,3,10,0.14572,0.06071541484664335,3.30022,0.7629379867328668,Hybrid-Ensemble,91.13221113212234,4.80606651429529,63.58650836336799,13.956144822010172,87.23794016194128,5.440957862355334,50.0,0.7,0.95,20,1000,20,0.1,4
5,3,10,0.65364,0.20445760049457687,0.0,0.0,Machines-Ensemble,48.73638605634851,25.50126821636887,39.57324863887029,17.76310933388407,43.78820781122361,17.312457853560364,50.0,0.9,0.95,20,1000,20,0.1,4
5,3,10,0.16292,0.06403119239870518,3.6522,1.1398366374178361,Hybrid-Ensemble,90.79274008289646,5.940188371940656,61.74580701698433,18.029391440772894,86.05573446653703,5.263869087877289,50.0,0.9,0.95,20,1000,20,0.1,4
5,3,10,0.16074,0.07341329852281533,5.730460000000001,0.9924850066373797,Crowd-Ensemble,94.5834288277263,3.4979214935216736,81.77665176839207,16.339549201906124,92.81208503176829,3.372533265563155,0.0,0.0,0.95,20,1000,20,0.2,4
5,3,10,0.12944,0.10380099421489179,0.0,0.0,Machines-Ensemble,99.30821281889531,0.9402172670738109,67.75371530304784,16.456153840632552,94.55761251923518,4.017306631812096,50.0,0.0,0.95,20,1000,20,0.2,4
5,3,10,0.06172,0.04691270190470807,2.62582,0.30418985453167235,Hybrid-Ensemble,97.21066850282861,2.2894551252807807,97.05175589386441,1.6240477393026618,97.19086478437694,2.1226586863830064,50.0,0.0,0.95,20,1000,20,0.2,4
5,3,10,0.22608,0.08902378109246989,0.0,0.0,Machines-Ensemble,94.61738516068826,2.281502217156278,63.331132243958116,11.688657100591472,90.22077039257874,3.5191723581732943,50.0,0.2,0.95,20,1000,20,0.2,4
5,3,10,0.08534000000000001,0.04546234045888971,2.9796799999999997,0.29442896868345003,Hybrid-Ensemble,96.5399396924704,2.3277660331850143,92.3055405557602,3.1452076138547187,96.1205229840212,2.037075649406366,50.0,0.2,0.95,20,1000,20,0.2,4
5,3,10,0.3998799999999999,0.12627535626558334,0.0,0.0,Machines-Ensemble,87.34465487399665,3.6168636806989283,57.09469617810686,12.458527912620637,82.8473935085417,4.990456257558723,50.0,0.3,0.95,20,1000,20,0.2,4
