worker_tests,worker_tests,lr,loss_mean,loss_std,price_mean,price_std,algorithm,recall,recall_std,precision,precision_std,f_beta,f_beta_std,machine_tests,corr,select_conf,baseround_items,total_items,expert_cost,theta,filetrs_num,label
5,5,10,0.22529600000000002,0.08267053879103486,4.82014,1.4948859307652878,Hybrid-Ensemble,96.1674022297949,2.475628874047493,84.02377796619298,10.531787127224202,94.7164722571098,1.9477621146143669,50.0,0.7,0.95,20,5000,20,0.3,4,Low Select/High Acc
5,5,10,1.9400160000000002,0.9903498588599888,0.0,0.0,Machines-Ensemble,53.92066394531753,30.989319885166623,61.72084819185059,17.70472614926148,51.900824660268114,26.22408889117474,50.0,0.9,0.95,20,5000,20,0.3,4,Low Select/High Acc
5,5,10,0.25069600000000003,0.11733416375463712,5.701716,1.7616587547377047,Hybrid-Ensemble,96.1882482822733,2.7689066230986747,79.99473295450947,12.020361460169784,94.16098307345946,2.644815123475038,50.0,0.9,0.95,20,5000,20,0.3,4,Low Select/High Acc
5,5,10,0.31093600000000005,0.12718561201645412,7.60712,0.8123601152198452,Crowd-Ensemble,93.85400634375942,3.9430959929232445,83.70220451850284,9.383780923466304,92.6412043889841,3.0436454669266246,0.0,0.0,0.95,20,5000,20,0.3,4,Low Select/Low Acc
5,5,10,0.13206400000000001,0.10006784450561529,0.0,0.0,Machines-Ensemble,99.13012451667848,0.8663391533625865,80.77586816084003,10.636813173949848,96.953238917317,2.2332443134750184,50.0,0.0,0.95,20,5000,20,0.3,4,Low Select/Low Acc
5,5,10,0.12079999999999998,0.05814371161183297,3.6750279999999997,1.142931692104126,Hybrid-Ensemble,98.87748223240595,0.9467078591070686,83.85437569122095,7.559855497619574,97.18578317095744,1.2719723378250432,50.0,0.0,0.95,20,5000,20,0.3,4,Low Select/Low Acc
5,5,10,0.34915999999999997,0.1671242699310905,0.0,0.0,Machines-Ensemble,93.96080920475711,3.1444990869415452,76.02008322143017,10.2939473431716,91.85357890141643,3.826987247366067,50.0,0.2,0.95,20,5000,20,0.3,4,Low Select/Low Acc
5,5,10,0.17035200000000003,0.06389880199189966,4.218604,0.9035621492647863,Hybrid-Ensemble,97.88265336981522,1.8121451350528501,81.17757542717561,6.639734804240589,95.99360142664597,1.512496005896887,50.0,0.2,0.95,20,5000,20,0.3,4,Low Select/Low Acc
5,5,10,0.570284,0.17165860113609221,0.0,0.0,Machines-Ensemble,88.18599868031347,4.474069351842891,75.07734077089813,9.755905005686943,86.61969165827162,4.047317437992201,50.0,0.3,0.95,20,5000,20,0.3,4,Low Select/Low Acc
5,5,10,0.201216,0.06671955443496307,4.32504,0.7357806553586469,Hybrid-Ensemble,96.99537111295864,2.0032031051614667,81.44373268334603,5.376716576861538,95.27475803161067,1.5801720806170836,50.0,0.3,0.95,20,5000,20,0.3,4,Low Select/Low Acc
