worker_tests,worker_tests,lr,loss_mean,loss_std,price_mean,price_std,algorithm,recall,recall_std,precision,precision_std,f_beta,f_beta_std,machine_tests,corr,select_conf,baseround_items,total_items,expert_cost,theta,filetrs_num
5,5,10,0.13574,0.049784660288084724,2.76642,0.8614676335185205,Hybrid-Ensemble,84.2892939423612,8.3563903066005,58.675517563079644,16.49142155165394,79.91971812604105,6.990126442421579,50.0,0.7,0.95,20,1000,20,0.05,4
5,5,10,0.48632000000000003,0.25160218123060857,0.0,0.0,Machines-Ensemble,58.29329583876905,28.33646221423781,30.048852913721653,19.77781670550762,43.5311741473355,15.87962398745252,50.0,0.9,0.95,20,1000,20,0.05,4
5,5,10,0.15754,0.07242933383650577,3.17732,1.448472387586315,Hybrid-Ensemble,82.09840549135085,10.492083955597945,55.71663057482364,18.484490565199888,76.83047885005728,9.201753904735599,50.0,0.9,0.95,20,1000,20,0.05,4
5,5,10,0.13526000000000002,0.07352708616557575,4.29072,0.6724175202952403,Crowd-Ensemble,88.23061519510125,7.792227385308393,83.536255754368,8.408797828311382,87.59654095608147,6.826167181096297,0.0,0.0,0.95,20,1000,20,0.1,4
5,5,10,0.10904,0.07087988713309298,0.0,0.0,Machines-Ensemble,99.35520217610528,0.7896532787498631,53.44591276669575,15.203984932931908,91.127857680226,4.844810752901484,50.0,0.0,0.95,20,1000,20,0.1,4
5,5,10,0.11676,0.06914754080948939,2.45924,0.904077132992534,Hybrid-Ensemble,90.75473184663674,7.636935569692042,80.70630722454761,12.079922121834144,89.30314569203144,6.751325380579355,50.0,0.0,0.95,20,1000,20,0.1,4
5,5,10,0.20801999999999998,0.11081723512161815,0.0,0.0,Machines-Ensemble,93.30648272097964,3.798214017422471,45.65551441292752,17.364202063003464,83.40105692853065,7.896063047140542,50.0,0.2,0.95,20,1000,20,0.1,4
5,5,10,0.17617999999999998,0.0851022185374741,2.5656000000000008,1.2294635903514994,Hybrid-Ensemble,85.26870251229269,7.807418815625848,78.881877504772,11.190232623935614,84.13733137234436,7.054136251565219,50.0,0.2,0.95,20,1000,20,0.1,4
5,5,10,0.2581800000000001,0.11547340646226731,0.0,0.0,Machines-Ensemble,88.00841160947473,6.029885508043421,44.75355744715342,16.58232386215429,79.07903035842874,7.7260695801315515,50.0,0.3,0.95,20,1000,20,0.1,4
5,5,10,0.16438,0.07247782833391188,2.57726,0.5896866561149234,Hybrid-Ensemble,86.28582771317257,7.58913024367994,75.76367143500288,9.883184528598887,84.97439328682277,6.7229605194966835,50.0,0.3,0.95,20,1000,20,0.1,4
5,5,10,0.3837000000000001,0.1487765102427127,0.0,0.0,Machines-Ensemble,74.08525914144629,13.679866522513443,44.56690598646592,18.174928813454873,68.11280566675745,11.678764792219377,50.0,0.5,0.95,20,1000,20,0.1,4
5,5,10,0.16917999999999997,0.0695444289645116,3.0852,0.9376172993284627,Hybrid-Ensemble,87.82264712554465,7.341262374986001,68.14791858063128,12.395573296557343,85.08940053131597,6.026125537725259,50.0,0.5,0.95,20,1000,20,0.1,4
5,5,10,0.5670199999999999,0.17068819408500402,0.0,0.0,Machines-Ensemble,67.61742740075091,22.27105477821721,33.57452109063644,18.936712285975947,56.13568595159531,13.33413670547542,50.0,0.7,0.95,20,1000,20,0.1,4
5,5,10,0.20505999999999996,0.06689586235336234,3.5030799999999997,1.0951646422342167,Hybrid-Ensemble,85.62620148940336,8.146893461267242,63.33987805116649,15.280361332960489,82.05552625884087,6.1498622000545735,50.0,0.7,0.95,20,1000,20,0.1,4
5,5,10,0.65782,0.2158548299204815,0.0,0.0,Machines-Ensemble,57.5251827149045,27.46940522414828,38.539769561574325,23.62859181233945,48.20347754372643,17.641251060753167,50.0,0.9,0.95,20,1000,20,0.1,4
5,5,10,0.2077,0.07860311698654195,3.692579999999999,1.131596166306691,Hybrid-Ensemble,85.77281843511058,7.335455213081969,62.89223702289876,15.852081640366407,82.22379328042258,6.449452614057415,50.0,0.9,0.95,20,1000,20,0.1,4
5,5,10,0.16332000000000002,0.07933484480352879,5.987480000000001,0.5668635899402958,Crowd-Ensemble,93.91412610422081,4.665524009305966,82.86731451486735,9.75311646400286,92.57485123584117,3.7558457910570193,0.0,0.0,0.95,20,1000,20,0.2,4
5,5,10,0.14582,0.11535574368014798,0.0,0.0,Machines-Ensemble,99.02463237031571,0.9338922541911377,65.93296093864963,16.755712129460136,93.84864475853219,4.500889658894514,50.0,0.0,0.95,20,1000,20,0.2,4
5,5,10,0.14042,0.08438627613540012,3.30244,1.3227825695857958,Hybrid-Ensemble,95.19081942876372,4.124958998022278,83.83999351988251,11.651616256710463,93.6810559253227,3.736216501772794,50.0,0.0,0.95,20,1000,20,0.2,4
5,5,10,0.26324,0.1219622171002151,0.0,0.0,Machines-Ensemble,94.52663158029834,3.5877472401566504,59.2783686390317,15.128186649705961,88.87488513572607,4.774102432354154,50.0,0.2,0.95,20,1000,20,0.2,4
5,5,10,0.16738,0.07895109625584688,3.4258599999999997,1.1672482342672443,Hybrid-Ensemble,93.98746304441978,3.9682741516787647,81.73306059276082,10.477648057949946,92.448300661953,3.657579822443808,50.0,0.2,0.95,20,1000,20,0.2,4
5,5,10,0.3741399999999999,0.14010681782126091,0.0,0.0,Machines-Ensemble,88.36256075788673,4.911528474046968,59.65183261110051,13.774539076939922,84.03567872220907,5.763283118468729,50.0,0.3,0.95,20,1000,20,0.2,4
5,5,10,0.17706,0.08474111398842948,3.5530199999999996,0.9734998816640913,Hybrid-Ensemble,93.72155427468026,4.9053074092038855,79.60791443871175,9.360843666173489,92.02343799443646,4.1976245016287015,50.0,0.3,0.95,20,1000,20,0.2,4
5,5,10,0.6777,0.20114435115110738,0.0,0.0,Machines-Ensemble,74.99171694032584,12.826776811421952,51.632872052760966,17.850727384389025,70.27524156879298,9.486136383160142,50.0,0.5,0.95,20,1000,20,0.2,4
5,5,10,0.20918,0.08182632583710452,4.14448,0.8458460436746158,Hybrid-Ensemble,92.60375345785914,5.073769446624893,74.69440987100661,8.890766947575349,90.42954099590203,4.25817028525772,50.0,0.5,0.95,20,1000,20,0.2,4
5,5,10,0.9592800000000001,0.26222837680159633,0.0,0.0,Machines-Ensemble,61.26368916820552,19.054379872129342,50.12274193018047,20.054544811038692,57.40709508702232,13.2885072311283,50.0,0.7,0.95,20,1000,20,0.2,4
5,5,10,0.24514,0.11978647836880421,4.4595,1.0070236988273913,Hybrid-Ensemble,91.54749780753882,6.065062278266036,71.72246623480105,11.478831585284022,89.01330280471265,5.504863399353653,50.0,0.7,0.95,20,1000,20,0.2,4
5,5,10,0.9849999999999999,0.34286650463409224,0.0,0.0,Machines-Ensemble,65.80385686664577,28.70682511979664,47.9000341166722,24.060218113837394,57.55232608945159,19.007799579789783,50.0,0.9,0.95,20,1000,20,0.2,4
5,5,10,0.24468,0.1214448747374709,4.69196,1.2486587998328447,Hybrid-Ensemble,92.17105032381143,6.328966451300076,70.60692182040448,12.141491367582537,89.26437730787889,5.395768044747863,50.0,0.9,0.95,20,1000,20,0.2,4
5,5,10,0.21038,0.08894220370555252,6.99374,1.267136343255926,Crowd-Ensemble,95.38400262767833,2.772902532090793,83.78512704693911,11.534848430392127,93.88884416731474,2.4304007001002472,0.0,0.0,0.95,20,1000,20,0.3,4
5,5,10,0.13714,0.10697083901699565,0.0,0.0,Machines-Ensemble,99.08335295530448,1.061934093485071,76.36235695464718,13.62433128751956,96.13063361506096,2.9093094783042193,50.0,0.0,0.95,20,1000,20,0.3,4
5,5,10,0.12841999999999998,0.08226812019245365,3.7323000000000004,1.3659185956710598,Hybrid-Ensemble,97.84604404637345,2.0145892285796365,84.84141000907837,10.641228798407617,96.27150730339828,2.335332637383553,50.0,0.0,0.95,20,1000,20,0.3,4
